"Feature","Gain","Cover","Frequence"
"Category1",0.35142115964348,0.105237622552691,0.0156155866689158
"Category2",0.10196229132827,0.0750668239693102,0.0399185483287949
"Income",0.0820088859440431,0.0933000491424779,0.058245174349953
"Registration_Month",0.0818911711033907,0.11222380253123,0.122659469359231
"Camp_Start_wkDay",0.0758975592661643,0.116781128880762,0.0417138588331687
"Duration",0.0717278837610455,0.0857644483291248,0.0672096778080343
"Camp_Start_Month",0.0524682350280553,0.0610599835323562,0.0469070053256862
"City_Type",0.0381889216700095,0.0709270529414348,0.132840928259874
"Education_Score",0.0308382083110614,0.0519636180507912,0.0815842109068125
"Registration_wkDay",0.0244268820627014,0.0366304769418742,0.111514085355568
"registration_num_overall",0.0233616715828113,0.040584942030773,0.110224835530279
"registration_num_camp_cat",0.0191684918725323,0.0415895388671621,0.0609682627659831
"Var1",0.016166563825965,0.0391212773391947,0.0358459647685375
"Var5",0.00956145914986066,0.0187962469859203,0.0192544039328144
"Age",0.00778052115398707,0.013296306144977,0.0198086608670506
"LinkedIn_Shared",0.00444754843425944,0.0139111838388971,0.00989228136973757
"Var2",0.00294921616703787,0.00766144326561628,0.00857893341687351
"Twitter_Shared",0.00199850506103633,0.00578994262323598,0.00567510904402728
"Online_Follower",0.00176057438119566,0.00562226404235273,0.00512085210979107
"Facebook_Shared",0.00142858833315079,0.0022400781316175,0.00422922138949804
"Category3",0.000393485660097185,0.00208293872300581,0.00149408390968022
"Var4",0.000152176259845252,0.000348831135195189,0.000698845699689134
